241	Business	Railroads	Contributions	2024-01-02 22:57:32
241	Group	Energy & Natural Resources	Contributions	2024-01-02 22:57:32
241	Industry	Railroads	Contributions	2024-01-02 22:57:32
242	Business	Teachers unions	Contributions	2024-01-02 22:57:32
242	Group	Labor	Contributions	2024-01-02 22:57:32
242	Industry	Public Sector Unions	Contributions	2024-01-02 22:57:32
248	Business	Wine & distilled spirits manufacturing	Contributions	2024-01-02 22:57:32
248	Group	General Business	Contributions	2024-01-02 22:57:32
248	Industry	Beer, Wine & Liquor	Contributions	2024-01-02 22:57:32
253	Business	Timber companies, sawmills, & others engaged in cutting down trees	Contributions	2024-01-02 22:57:32
253	Group	Agriculture	Contributions	2024-01-02 22:57:32
253	Industry	Forestry & Forest Products	Contributions	2024-01-02 22:57:32
259	Business	Dairy farmers & wholesale and retail milk, cheese and ice cream dealers	Contributions	2024-01-02 22:57:32
259	Group	Agriculture	Contributions	2024-01-02 22:57:32
259	Industry	Dairy	Contributions	2024-01-02 22:57:32
261	Business	Life insurance	Contributions	2024-01-02 22:57:32
261	Group	Finance, Insurance & Real Estate	Contributions	2024-01-02 22:57:32
261	Industry	Insurance	Contributions	2024-01-02 22:57:32
263	Business	Real estate developers & subdividers	Contributions	2024-01-02 22:57:32
263	Group	Finance, Insurance & Real Estate	Contributions	2024-01-02 22:57:32
263	Industry	Real Estate	Contributions	2024-01-02 22:57:32
273	Business	Uncoded	Contributions	2024-01-02 22:57:32
273	Group	Uncoded	Contributions	2024-01-02 22:57:32
273	Industry	Uncoded	Contributions	2024-01-02 22:57:32
279	Business	Sea transport	Contributions	2024-01-02 22:57:32
279	Group	Transportation	Contributions	2024-01-02 22:57:32
279	Industry	Sea Transport	Contributions	2024-01-02 22:57:32
281	Business	State & local government employee unions	Contributions	2024-01-02 22:57:32
281	Group	Labor	Contributions	2024-01-02 22:57:32
281	Industry	Public Sector Unions	Contributions	2024-01-02 22:57:32
283	Business	Independent power generation & cogeneration	Contributions	2024-01-02 22:57:32
283	Group	Energy & Natural Resources	Contributions	2024-01-02 22:57:32
283	Industry	Electric Utilities	Contributions	2024-01-02 22:57:32
284	Business	Insurance agencies, brokers & agents	Contributions	2024-01-02 22:57:32
284	Business	Uncoded	Contributions	2024-01-02 22:57:32
284	Group	Finance, Insurance & Real Estate	Contributions	2024-01-02 22:57:32
284	Group	Uncoded	Contributions	2024-01-02 22:57:32
284	Industry	Insurance	Contributions	2024-01-02 22:57:32
284	Industry	Uncoded	Contributions	2024-01-02 22:57:32
286	Business	Real estate developers & subdividers	Contributions	2024-01-02 22:57:32
286	Group	Finance, Insurance & Real Estate	Contributions	2024-01-02 22:57:32
286	Industry	Real Estate	Contributions	2024-01-02 22:57:32
289	Business	Pharmaceutical manufacturing	Contributions	2024-01-02 22:57:32
289	Group	Health	Contributions	2024-01-02 22:57:32
289	Industry	Pharmaceuticals & Health Products	Contributions	2024-01-02 22:57:32
293	Business	Optical services (glasses & contact lenses)	Contributions	2024-01-02 22:57:32
293	Group	Health	Contributions	2024-01-02 22:57:32
293	Industry	Health Services	Contributions	2024-01-02 22:57:32
303	Business	Nursing homes	Contributions	2024-01-02 22:57:32
303	Group	Health	Contributions	2024-01-02 22:57:32
303	Industry	Hospitals & Nursing Homes	Contributions	2024-01-02 22:57:32
319	Business	Fire fighters unions and associations	Contributions	2024-01-02 22:57:32
319	Business	Uncoded	Contributions	2024-01-02 22:57:32
319	Group	Labor	Contributions	2024-01-02 22:57:32
319	Group	Uncoded	Contributions	2024-01-02 22:57:32
319	Industry	Public Sector Unions	Contributions	2024-01-02 22:57:32
319	Industry	Uncoded	Contributions	2024-01-02 22:57:32
339	Business	Uncoded	Contributions	2024-01-02 22:57:32
339	Group	Uncoded	Contributions	2024-01-02 22:57:32
339	Industry	Uncoded	Contributions	2024-01-02 22:57:32
341	Business	Casinos, racetracks & gambling	Contributions	2024-01-02 22:57:32
341	Group	General Business	Contributions	2024-01-02 22:57:32
341	Industry	Gambling & Casinos	Contributions	2024-01-02 22:57:32
342	Business	Casinos, racetracks & gambling	Contributions	2024-01-02 22:57:32
342	Group	General Business	Contributions	2024-01-02 22:57:32
342	Industry	Gambling & Casinos	Contributions	2024-01-02 22:57:32
363	Business	Pharmaceutical manufacturing	Contributions	2024-01-02 22:57:32
363	Group	Health	Contributions	2024-01-02 22:57:32
363	Industry	Pharmaceuticals & Health Products	Contributions	2024-01-02 22:57:32
384	Business	Other unions	Contributions	2024-01-02 22:57:32
384	Group	Labor	Contributions	2024-01-02 22:57:32
384	Industry	General Trade Unions	Contributions	2024-01-02 22:57:32
389	Business	Computer software	Contributions	2024-01-02 22:57:32
389	Group	Communications & Electronics	Contributions	2024-01-02 22:57:32
389	Industry	Computer Equipment & Services	Contributions	2024-01-02 22:57:32
398	Business	Paging & cellular phones and services	Contributions	2024-01-02 22:57:32
398	Group	Communications & Electronics	Contributions	2024-01-02 22:57:32
398	Industry	Telecom Services & Equipment	Contributions	2024-01-02 22:57:32
406	Business	Hospitals	Contributions	2024-01-02 22:57:32
406	Group	Health	Contributions	2024-01-02 22:57:32
406	Industry	Hospitals & Nursing Homes	Contributions	2024-01-02 22:57:32
407	Business	Casinos, racetracks & gambling	Contributions	2024-01-02 22:57:32
407	Group	General Business	Contributions	2024-01-02 22:57:32
407	Industry	Gambling & Casinos	Contributions	2024-01-02 22:57:32
420	Business	Police unions & associations	Contributions	2024-01-02 22:57:32
420	Group	Labor	Contributions	2024-01-02 22:57:32
420	Industry	Public Sector Unions	Contributions	2024-01-02 22:57:32
422	Business	State & local government employee unions	Contributions	2024-01-02 22:57:32
422	Group	Labor	Contributions	2024-01-02 22:57:32
422	Industry	Public Sector Unions	Contributions	2024-01-02 22:57:32
428	Business	Uncoded	Contributions	2024-01-02 22:57:32
428	Group	Uncoded	Contributions	2024-01-02 22:57:32
428	Industry	Uncoded	Contributions	2024-01-02 22:57:32
431	Business	Finance, insurance & real estate	Contributions	2024-01-02 22:57:32
431	Group	Finance, Insurance & Real Estate	Contributions	2024-01-02 22:57:32
431	Industry	Miscellaneous Finance, Insurance & Real Estate	Contributions	2024-01-02 22:57:32
433	Business	Construction unions	Contributions	2024-01-02 22:57:32
433	Group	Labor	Contributions	2024-01-02 22:57:32
433	Industry	General Trade Unions	Contributions	2024-01-02 22:57:32
441	Business	Other non-physician health practitioners	Contributions	2024-01-02 22:57:32
441	Group	Health	Contributions	2024-01-02 22:57:32
441	Industry	Health Professionals	Contributions	2024-01-02 22:57:32
451	Business	Public school teachers, administrators & officials	Contributions	2024-01-02 22:57:32
451	Group	Government Agencies/Education/Other	Contributions	2024-01-02 22:57:32
451	Industry	Education	Contributions	2024-01-02 22:57:32
458	Business	Building operators & managers	Contributions	2024-01-02 22:57:32
458	Group	Finance, Insurance & Real Estate	Contributions	2024-01-02 22:57:32
458	Industry	Real Estate	Contributions	2024-01-02 22:57:32
468	Business	Telecommunications	Contributions	2024-01-02 22:57:32
468	Group	Communications & Electronics	Contributions	2024-01-02 22:57:32
468	Industry	Telecom Services & Equipment	Contributions	2024-01-02 22:57:32
479	Business	Other physician specialists	Contributions	2024-01-02 22:57:32
479	Group	Health	Contributions	2024-01-02 22:57:32
479	Industry	Health Professionals	Contributions	2024-01-02 22:57:32
511	Business	Native American tribes & governing units	Contributions	2024-01-02 22:57:32
511	Business	Uncoded	Contributions	2024-01-02 22:57:32
511	Group	Government Agencies/Education/Other	Contributions	2024-01-02 22:57:32
511	Group	Uncoded	Contributions	2024-01-02 22:57:32
511	Industry	Tribal Governments	Contributions	2024-01-02 22:57:32
511	Industry	Uncoded	Contributions	2024-01-02 22:57:32
512	Business	Native American tribes & governing units	Contributions	2024-01-02 22:57:32
512	Group	Government Agencies/Education/Other	Contributions	2024-01-02 22:57:32
512	Industry	Tribal Governments	Contributions	2024-01-02 22:57:32
529	Business	Farm organizations & cooperatives	Contributions	2024-01-02 22:57:32
529	Group	Agriculture	Contributions	2024-01-02 22:57:32
529	Industry	Agricultural Services & Products	Contributions	2024-01-02 22:57:32
540	Business	Pharmaceutical manufacturing	Contributions	2024-01-02 22:57:32
540	Group	Health	Contributions	2024-01-02 22:57:32
540	Industry	Pharmaceuticals & Health Products	Contributions	2024-01-02 22:57:32
544	Business	Telecommunications	Contributions	2024-01-02 22:57:32
544	Group	Communications & Electronics	Contributions	2024-01-02 22:57:32
544	Industry	Telecom Services & Equipment	Contributions	2024-01-02 22:57:32
577	Business	Accident & health insurance	Contributions	2024-01-02 22:57:32
577	Group	Finance, Insurance & Real Estate	Contributions	2024-01-02 22:57:32
577	Industry	Insurance	Contributions	2024-01-02 22:57:32
600	Business	Retail trade	Contributions	2024-01-02 22:57:32
600	Group	General Business	Contributions	2024-01-02 22:57:32
600	Industry	Retail Sales	Contributions	2024-01-02 22:57:32
605	Business	Native American tribes & governing units	Contributions	2024-01-02 22:57:32
605	Group	Government Agencies/Education/Other	Contributions	2024-01-02 22:57:32
605	Industry	Tribal Governments	Contributions	2024-01-02 22:57:32
622	Business	Stone, clay, glass & concrete products	Contributions	2024-01-02 22:57:32
622	Group	Construction	Contributions	2024-01-02 22:57:32
622	Industry	Building Materials & Equipment	Contributions	2024-01-02 22:57:32
671	Business	Building operators & managers	Contributions	2024-01-02 22:57:32
671	Group	Finance, Insurance & Real Estate	Contributions	2024-01-02 22:57:32
671	Industry	Real Estate	Contributions	2024-01-02 22:57:32
682	Business	Mortgage bankers & brokers	Contributions	2024-01-02 22:57:32
682	Group	Finance, Insurance & Real Estate	Contributions	2024-01-02 22:57:32
